CC-436,"Coles Low Rate MasterCard",ALL|CC
EL-2163,"Origin Energy DailySaver Plus",ALL|EL
CC-26,"NAB Velocity Rewards Card",ALL|CC
EL-2335,"Lumo Energy Lumo Advantage",ALL|EL
CC-391,"St.George Amplify Signature (Qantas)",ALL|CC
CC-388,"St.George Amplify Platinum (Rewards)",ALL|CC
PL-23,"BankSA Unsecured Personal Loan (Fixed)",ALL|PL
PL-68,"ANZ Unsecured Personal Loan (Variable)",ALL|PL
CC-348,"NAB flybuys Rewards Card",ALL|CC
PL-67,"IMB Bank Secured Personal Loan (Fixed)",ALL|PL
PL-311,"RACV New Car Loan (Fixed)",ALL|PL
PL-66,"IMB Bank Unsecured Personal Loan (Fixed)",ALL|PL
EL-2397,"Lumo Energy Lumo Advantage",ALL|EL
PL-93,"Westpac Car Loan (Fixed)",ALL|PL
CC-49,"Bank Australia Low Rate Visa",ALL|CC
PL-130,"CUA Fixed Rate Car Loan (Up to 2 years old, over $15k)",ALL|PL
CC-435,"Westpac Altitude Black - Online Only Offer (Qantas)",ALL|CC
CC-59,"Bankwest More Gold MasterCard",ALL|CC
CC-432,"Westpac Altitude Platinum - Online Only Offer (Rewards)",ALL|CC
CC-434,"Westpac Altitude Black - Online Only Offer (Rewards)",ALL|CC
CC-440,"Westpac 55 Day Platinum Card - Online Only Offer",ALL|CC
PL-186,"IMB Bank New Car Personal Loan (Fixed)",ALL|PL
EL-2167,"Origin Energy Maximiser",ALL|EL
PL-316,"ANZ Online Secured Car Loan (Fixed)",ALL|PL
CC-172,"Community First Credit Union McGrath Pink Visa",ALL|CC
CC-350,"Victoria Teachers Mutual Bank Visa Platinum Credit Card",ALL|CC
CC-410,"G&C Mutual Bank Low Rate Visa Credit Card",ALL|CC
PL-27,"BankSA Car Loan (Variable)",ALL|PL
EL-2338,"Sumo Power 36% Pre-pay Monthly",ALL|EL
EL-2351,"Alinta Energy Fair Deal 35",ALL|EL
EL-2185,"Origin Energy Maximiser",ALL|EL
CC-293,"Bendigo Bank Just Business",ALL|CC
EL-2299,"EnergyAustralia Flexi Saver",ALL|EL
EL-2292,"EnergyAustralia Flexi Saver",ALL|EL
CC-438,"Westpac Altitude - Online Only Offer (Qantas)",ALL|CC
CC-404,"Heritage Bank Platinum",ALL|CC
EL-2296,"EnergyAustralia Flexi Saver",ALL|EL
CC-245,"Mozo Big Bot Buster",ALL|CC
CC-253,"Police Bank Visa Credit Card",ALL|CC
EL-2307,"EnergyAustralia Flexi Saver",ALL|EL
CC-79,"Heritage Bank Gold Low Rate",ALL|CC
EL-2353,"Lumo Energy Lumo Life 10",ALL|EL
EL-2328,"Diamond Energy Retail Supply Offer",ALL|EL
EL-2333,"Lumo Energy Lumo Velocity",ALL|EL
EL-2363,"Simply Energy Standing Offer",ALL|EL
PL-45,"NAB Personal Loan (Fixed, Unsecured)",ALL|PL
EL-2339,"Sumo Power 32% Pay on Time",ALL|EL
EL-2365,"Simply Energy Simply Guaranteed 15",ALL|EL
PL-54,"St.George Unsecured Personal Loan (Variable)",ALL|PL
EL-2364,"Simply Energy Simply Guaranteed 13",ALL|EL
EL-2289,"EnergyAustralia Flexi Saver",ALL|EL
CC-30,"Westpac Altitude Platinum (Qantas)",ALL|CC
EL-2336,"Lumo Energy Lumo Basic",ALL|EL
CC-402,"Bank Australia Platinum Rewards Visa",ALL|CC
CC-167,"Bankwest Zero Gold MasterCard",ALL|CC
CC-211,"St.George Amplify Classic (Qantas)",ALL|CC
CC-324,"Bankwest Qantas MasterCard",ALL|CC
CC-320,"Bank of Melbourne Amplify Classic (Qantas)",ALL|CC
CC-394,"Bank of Melbourne Amplify Signature (Rewards)",ALL|CC
CC-442,"UniBank Credit Card",ALL|CC
EL-2334,"Lumo Energy Lumo Life 10",ALL|EL
CC-91,"BankSA Vertigo Platinum",ALL|CC
CC-395,"Bank of Melbourne Amplify Signature (Qantas)",ALL|CC
CC-428,"Intech Credit Union Titanium 55 Credit Card",ALL|CC
CC-256,"SCU Low Rate Visa Credit Card",ALL|CC
CC-212,"QANTAS Credit Union Lifestyle",ALL|CC
CC-95,"BankSA Vertigo",ALL|CC
CC-68,"Bankwest Breeze Gold MasterCard",ALL|CC
CC-61,"Bankwest More MasterCard",ALL|CC
CC-42,"Bankwest More Platinum MasterCard",ALL|CC
EL-2408,"Simply Energy Standard Offer",ALL|EL
CC-392,"Bank of Melbourne Amplify Platinum (Rewards)",ALL|CC
CC-366,"HSBC Premier World MasterCard (Rewards Plus)",ALL|CC
CC-319,"Bank of Melbourne Amplify Classic (Rewards)",ALL|CC
